,price
17154,639900.0
16600,399900.0
22239,839900.0
6275,698888.0
40207,549900.0
45584,1170000.0
6710,1280000.0
38904,139000.0
19001,875000.0
28633,240000.0
28184,588000.0
44163,1100000.0
43861,509000.0
933,649000.0
12980,750000.0
24362,425000.0
14590,1459988.0
39185,117500.0
48309,1495000.0
44037,889000.0
53083,625000.0
61950,425000.0
67341,429000.0
12109,157000.0
9069,960000.0
38308,1175000.0
62292,478900.0
2936,730000.0
6406,889000.0
19103,850000.0
14286,1200000.0
12701,1200000.0
3246,750000.0
42655,590000.0
52378,998000.0
44741,1798000.0
3065,749000.0
34265,749000.0
25462,469000.0
45975,799000.0
2916,850000.0
58922,678000.0
40328,380000.0
66661,350000.0
15533,450000.0
16065,314900.0
67259,536130.0
42081,340000.0
63335,678174.0
23856,789000.0
42374,330000.0
34695,869990.0
48844,565000.0
30561,686736.0
46439,1350000.0
18433,595000.0
50788,469888.0
1408,1495000.0
21605,569990.0
22781,749000.0
66480,1400000.0
39859,315000.0
15951,659900.0
7419,523000.0
55612,959000.0
64211,399900.0
21410,949900.0
57427,990000.0
6673,650000.0
51316,585000.0
6560,799000.0
46127,998000.0
35401,1395000.0
36736,485385.0
28011,440000.0
51667,339000.0
35396,415000.0
16779,775000.0
61652,608888.0
33059,1200000.0
48084,530000.0
53851,1195000.0
48136,430000.0
30811,550000.0
53324,599444.0
52106,1150000.0
29091,209000.0
3543,600000.0
3220,1599000.0
65097,575000.0
35130,829000.0
55318,730000.0
40453,450000.0
26578,450000.0
53188,599000.0
19889,239000.0
42922,460000.0
25862,80000.0
27124,599700.0
8542,729900.0
18261,875000.0
4192,829000.0
16182,525000.0
46150,959000.0
59217,295000.0
34448,980000.0
16759,599000.0
54476,899000.0
30508,415000.0
23019,1525000.0
31394,1499900.0
29773,390000.0
18156,699900.0
62623,299990.0
9387,749900.0
2393,145000.0
57662,369900.0
10374,649999.0
18803,1999000.0
31329,110000.0
62472,385900.0
67577,339000.0
3066,739000.0
4544,580000.0
20636,1848000.0
31072,436100.0
17802,695000.0
5791,899000.0
67376,385000.0
7440,1950000.0
4085,729000.0
42412,335000.0
9029,729000.0
46721,895000.0
44601,1398000.0
8966,679900.0
48160,995000.0
44767,1998888.0
54646,249000.0
49809,699999.0
47529,875000.0
45616,865000.0
55418,898000.0
34524,380000.0
20670,839000.0
43519,605000.0
67390,419000.0
46408,989000.0
17960,350000.0
57441,729000.0
15679,608785.0
51338,499000.0
51449,1600000.0
66039,565000.0
3907,1950000.0
7596,395000.0
2462,899000.0
59817,1400000.0
14813,949900.0
64588,932000.0
44128,699000.0
66831,418000.0
9721,809000.0
12895,630000.0
47792,689000.0
24901,650000.0
61805,1100000.0
35590,780000.0
30635,725000.0
20912,1400000.0
30321,644444.0
46597,749000.0
18863,1950000.0
32764,191000.0
66658,398000.0
17334,1400000.0
27505,675000.0
4790,858000.0
14253,408000.0
36862,70000.0
56715,769999.0
31970,300000.0
58565,675000.0
17845,439000.0
44380,1328000.0
53383,799000.0
45145,585000.0
15364,320000.0
8490,1500000.0
35733,2100000.0
31021,145000.0
53253,530000.0
4954,599000.0
66334,679000.0
30631,529000.0
45620,1069000.0
50964,425000.0
9252,965000.0
65799,755200.0
8746,550000.0
55819,520000.0
13552,1049000.0
49375,575000.0
53633,735900.0
54555,700000.0
59084,2000000.0
21799,984999.0
33542,686000.0
66671,895000.0
1806,85000.0
14925,525000.0
52903,448000.0
12605,749900.0
29526,425000.0
56334,499900.0
3338,1895000.0
11655,1185000.0
45582,848000.0
60712,475000.0
2673,1495000.0
16406,715000.0
51617,988888.0
25228,350000.0
60109,1025000.0
60765,139900.0
31847,478000.0
46574,391120.0
57630,535000.0
12439,410000.0
51103,785490.0
13595,1450000.0
30277,89000.0
12531,975000.0
22234,335000.0
22213,1595000.0
9135,775000.0
43957,1699888.0
24834,269000.0
36458,419900.0
45029,1399000.0
67258,475000.0
41890,519000.0
8404,1199900.0
38979,825000.0
1787,1895000.0
61729,838000.0
65059,380000.0
16611,625000.0
63525,620000.0
12051,162900.0
1349,680000.0
25031,375000.0
2909,599000.0
51809,664900.0
13076,730000.0
10452,439900.0
31744,824900.0
62395,435000.0
33439,349000.0
17823,695000.0
30333,479900.0
46493,839000.0
4454,699999.0
3198,1497500.0
14328,729998.0
21867,110000.0
58987,1199900.0
55750,290000.0
36778,229900.0
49368,565000.0
22318,659999.0
66095,419000.0
66251,619000.0
57010,425950.0
9950,150000.0
33613,340000.0
54686,719000.0
42459,650000.0
6975,1498800.0
58923,526777.0
25114,40000.0
65456,315000.0
11536,1314900.0
38033,425000.0
