,price
1351892,415000
1258570,1895000
1258634,900000
1263000,1100000
1335666,949000
1326449,875000
1336274,475000
1327866,640000
1274383,1499900
1323632,7800000
1341735,339900
1320015,275000
1269276,879900
1327426,1099000
1268964,439000
1319872,450000
1264535,950000
1339247,669000
1331683,513000
1331368,649000
1350719,599900
1323601,23500000
1275373,729900
1326753,599900
1289734,520000
1258069,4599000
1330305,1868000
1332757,569999
1312378,3995000
1287680,1050000
1304805,489000
1310232,310000
1338709,544900
1280880,625000
1268010,1025000
1334898,1349000
1279926,379000
1286049,1099000
1274475,500000
1276188,529990
1334067,550000
1326050,695000
1293384,279900
1329397,849000
1258929,950000
1323144,4175000
1280896,743000
1346300,515900
1300171,499900
1269460,1275000
1305142,949999
1285910,2495000
1295524,699000
1352968,497000
1328316,1485000
1287536,685000
1338715,659789
1283728,1100000
1264338,679000
1321865,5295000
1316287,479999
1350553,949000
1264203,610000
1339010,850000
1285263,1299999
1320373,405000
1267363,3750000
1307321,2100000
1297388,529000
1317352,699000
1259183,6888000
1279674,950000
1340481,475000
1284276,1500000
1336837,741990
1291392,649000
1262340,599900
1329069,999900
1319227,360000
1329829,1588000
1315112,290000
1344001,252500
1299948,2900000
1325623,1749000
1278478,790000
1307334,937021
1346548,675000
1309845,299900
1356356,519900
1279444,670000
1325299,2390000
1298163,1195000
1233209,369000
1265843,998325
1296447,565000
1259447,825000
1269924,3275000
1348864,439900
1323384,3998000
1289011,999900
1302751,949999
1316945,559999
1336038,999000
1268426,2199000
1293170,439900
1312902,2250000
1324118,1499000
1321361,459000
1333586,675000
1354805,440000
1334926,1350000
1307667,529900
1355482,585000
1281882,990000
1268477,1350000
1304901,340000
1358348,349950
1332550,1299000
1305100,918000
1344867,289000
1283033,2997000
1269436,370000
1332886,950000
1326948,2495000
1268499,1200000
1307103,879000
1276993,920000
1295931,2000000
1272491,1499900
1270571,779000
1336396,397500
1277302,540000
1351752,850000
1309626,369900
1352951,499000
1323774,3400000
1350195,765000
1270960,1395000
1355528,459000
1259108,375000
1324874,700000
1340570,445000
1333144,1550000
1277488,2740000
1335055,866000
1315941,349900
1342619,325000
1318747,525000
1269696,549000
1358689,129500
1349852,569000
1264654,775000
1266458,597000
1278858,300000
1352500,723485
1346042,333000
1326401,599000
1340457,869000
1280652,799000
1339594,554000
1270004,749000
1257775,1399000
1355559,299900
1275996,689000
1353886,1275000
1267957,981088
1279768,774628
1268176,2000000
1276753,650000
1322485,799000
1338563,388888
1344747,585000
1353322,748300
1297651,360000
1259391,1295000
1353195,1725000
1352147,675000
1300580,455000
1313618,1575000
1334796,693000
1285590,389000
1264406,952000
1282027,729000
1334110,579000
1337604,3850000
1266336,949900
1323593,1800000
1262218,950000
1322585,2800000
1322702,49000000
1326610,849000
1338133,2449999
1271270,675000
1335431,2249000
1274834,579000
1336018,940000
1338127,1249888
1263597,4998000
1274418,424900
1277492,875000
1277094,699000
1328841,705000
1262511,999000
1263144,929000
1290085,670000
1268328,5399999
1349089,550000
1353001,746000
1290712,6995000
1270275,500000
1292179,345200
1263352,4950000
1308798,374900
1333011,1675000
1296374,949999
1300574,499000
1305775,899900
1289813,449000
1305155,520000
1269936,514999
1344780,545000
1341334,789999
1278591,535000
1280688,748300
1323280,599000
1270731,1280000
1287685,649999
1265348,750000
1338798,575900
1279067,750000
1291459,500000
1354489,180000
1274403,490000
1269122,799000
1263574,1799000
1311257,525000
1338139,635000
1346542,525000
1300277,449888
1257888,699000
1330176,1199000
1346739,1200000
1259527,5900000
1331388,899000
1332537,775000
1262979,670000
1289264,1988000
1301291,395000
1350287,399900
1342972,399999
1303254,573000
1334659,986750
1300473,555000
1353301,584900
1348009,290000
1286178,1695000
1294754,1390000
1283785,4290000
1281752,1989000
1338902,689000
1257594,950000
1347548,775000
1285527,1365000
1270747,849000
1295875,390000
1265310,1100000
1269584,699000
1346223,395000
1276019,749900
1289352,749900
1261436,1350000
1261531,788000
1278616,1550000
1277574,550000
1333804,427999
1311324,265000
1305225,825000
1305040,515000
1326197,779000
1329168,1191000
1342364,765000
1276032,795000
1352088,999999
1310113,949000
1272688,1150000
1271235,1499000
1348149,599000
1292659,447777
1347419,399000
1262152,720000
1318592,419000
1322487,1350000
1285568,2198888
1259654,555000
1304193,665990
1265521,1149888
1290315,415000
1276772,160000
1292423,1399000
1328612,599999
1269857,630000
1262880,1098808
1298131,550000
1342271,650000
1267156,2499000
1261740,1118000
1279560,750000
1323981,1988000
1306607,975000
1310576,312500
1278111,550000
1347563,501990
1330338,1578000
1311143,325000
1303892,400000
1283348,949900
1269179,489000
1282468,824900
1259031,850000
1274701,620000
1282573,9995000
1338788,524900
1271047,730000
1333743,1950000
1267415,1690000
1291811,1400000
1332990,998000
1296152,312800
1322205,25000000
1326516,1175000
1314053,525000
1314695,92000
1338784,579999
1321654,500000
1274421,730000
1274328,1100000
1327253,1299000
1352531,729325
1270326,899000
1272201,950000
1354619,615000
1318267,519000
1264805,749900
1270994,1275000
1319162,379950
1310619,185000
1300380,379900
1293560,779000
1289050,1210000
1336831,750893
1274488,999900
1323749,2995000
1277015,750000
1328590,925000
1265758,820000
1276685,500000
1357957,79000
1310384,306900
1263110,1845000
1338925,619000
1311893,525000
1309010,235000
1351112,799000
1346080,349000
1325644,1125000
1305399,450000
1335878,685000
1308048,320000
1320756,775000
1272420,865000
1331317,1260000
1325445,1099000
1336480,785000
1352915,765000
1304641,1398000
1336629,396500
1283305,2295000
1276738,1589000
1310312,129000
1332481,739900
1315264,509900
1276913,635000
1350380,599000
